mes_any,mes,any,be,codi_be,sub_be,codi_sub,export,import
12/2020,12,2020,Béns de consum,BCO,"Aliments, begudes i tabac",ABT,739.8,391.8
11/2020,11,2020,Béns de consum,BCO,"Aliments, begudes i tabac",ABT,775.3,387.8
10/2020,10,2020,Béns de consum,BCO,"Aliments, begudes i tabac",ABT,792.3,418.2
09/2020,9,2020,Béns de consum,BCO,"Aliments, begudes i tabac",ABT,741.4,419.8
08/2020,8,2020,Béns de consum,BCO,"Aliments, begudes i tabac",ABT,739.7,356.4
07/2020,7,2020,Béns de consum,BCO,"Aliments, begudes i tabac",ABT,819.8,375.9
06/2020,6,2020,Béns de consum,BCO,"Aliments, begudes i tabac",ABT,732.9,346.3
05/2020,5,2020,Béns de consum,BCO,"Aliments, begudes i tabac",ABT,645.2,345.2
04/2020,4,2020,Béns de consum,BCO,"Aliments, begudes i tabac",ABT,652.8,334.6
03/2020,3,2020,Béns de consum,BCO,"Aliments, begudes i tabac",ABT,733.1,418.3
02/2020,2,2020,Béns de consum,BCO,"Aliments, begudes i tabac",ABT,689.7,411.6
01/2020,1,2020,Béns de consum,BCO,"Aliments, begudes i tabac",ABT,694.1,404.5
12/2019,12,2019,Béns de consum,BCO,"Aliments, begudes i tabac",ABT,697.5,457.3
11/2019,11,2019,Béns de consum,BCO,"Aliments, begudes i tabac",ABT,780.5,483
10/2019,10,2019,Béns de consum,BCO,"Aliments, begudes i tabac",ABT,831.3,538.7
09/2019,9,2019,Béns de consum,BCO,"Aliments, begudes i tabac",ABT,709.8,458.3
08/2019,8,2019,Béns de consum,BCO,"Aliments, begudes i tabac",ABT,726.9,455.8
07/2019,7,2019,Béns de consum,BCO,"Aliments, begudes i tabac",ABT,778.4,508.2
06/2019,6,2019,Béns de consum,BCO,"Aliments, begudes i tabac",ABT,660.6,450
05/2019,5,2019,Béns de consum,BCO,"Aliments, begudes i tabac",ABT,727.6,494.7
04/2019,4,2019,Béns de consum,BCO,"Aliments, begudes i tabac",ABT,646.7,430.8
03/2019,3,2019,Béns de consum,BCO,"Aliments, begudes i tabac",ABT,629.4,444.4
02/2019,2,2019,Béns de consum,BCO,"Aliments, begudes i tabac",ABT,587.7,413
01/2019,1,2019,Béns de consum,BCO,"Aliments, begudes i tabac",ABT,594,420.1
12/2018,12,2018,Béns de consum,BCO,"Aliments, begudes i tabac",ABT,565.5,425.4
11/2018,11,2018,Béns de consum,BCO,"Aliments, begudes i tabac",ABT,663.4,467.8
10/2018,10,2018,Béns de consum,BCO,"Aliments, begudes i tabac",ABT,701.2,524.6
09/2018,9,2018,Béns de consum,BCO,"Aliments, begudes i tabac",ABT,610.3,420.3
08/2018,8,2018,Béns de consum,BCO,"Aliments, begudes i tabac",ABT,672,459.3
07/2018,7,2018,Béns de consum,BCO,"Aliments, begudes i tabac",ABT,675,467.4
06/2018,6,2018,Béns de consum,BCO,"Aliments, begudes i tabac",ABT,636.8,476.5
05/2018,5,2018,Béns de consum,BCO,"Aliments, begudes i tabac",ABT,635.4,498.8
04/2018,4,2018,Béns de consum,BCO,"Aliments, begudes i tabac",ABT,572.6,445
03/2018,3,2018,Béns de consum,BCO,"Aliments, begudes i tabac",ABT,613.7,426.3
02/2018,2,2018,Béns de consum,BCO,"Aliments, begudes i tabac",ABT,579,420.3
01/2018,1,2018,Béns de consum,BCO,"Aliments, begudes i tabac",ABT,598.3,397.9
12/2017,12,2017,Béns de consum,BCO,"Aliments, begudes i tabac",ABT,591,417.2
11/2017,11,2017,Béns de consum,BCO,"Aliments, begudes i tabac",ABT,655.8,469.6
10/2017,10,2017,Béns de consum,BCO,"Aliments, begudes i tabac",ABT,700.6,491.7
09/2017,9,2017,Béns de consum,BCO,"Aliments, begudes i tabac",ABT,648.2,433.2
08/2017,8,2017,Béns de consum,BCO,"Aliments, begudes i tabac",ABT,657,444.8
07/2017,7,2017,Béns de consum,BCO,"Aliments, begudes i tabac",ABT,671.7,441.9
06/2017,6,2017,Béns de consum,BCO,"Aliments, begudes i tabac",ABT,679.9,461
05/2017,5,2017,Béns de consum,BCO,"Aliments, begudes i tabac",ABT,693.2,484.3
04/2017,4,2017,Béns de consum,BCO,"Aliments, begudes i tabac",ABT,582.5,395.5
03/2017,3,2017,Béns de consum,BCO,"Aliments, begudes i tabac",ABT,659.4,452.4
02/2017,2,2017,Béns de consum,BCO,"Aliments, begudes i tabac",ABT,569.8,373.8
01/2017,1,2017,Béns de consum,BCO,"Aliments, begudes i tabac",ABT,558.4,383.4
12/2016,12,2016,Béns de consum,BCO,"Aliments, begudes i tabac",ABT,614.9,428.9
11/2016,11,2016,Béns de consum,BCO,"Aliments, begudes i tabac",ABT,641.3,454.6
10/2016,10,2016,Béns de consum,BCO,"Aliments, begudes i tabac",ABT,634,426.4
09/2016,9,2016,Béns de consum,BCO,"Aliments, begudes i tabac",ABT,664,425.9
08/2016,8,2016,Béns de consum,BCO,"Aliments, begudes i tabac",ABT,655.9,422.2
07/2016,7,2016,Béns de consum,BCO,"Aliments, begudes i tabac",ABT,659.1,419.3
06/2016,6,2016,Béns de consum,BCO,"Aliments, begudes i tabac",ABT,630.5,432.5
05/2016,5,2016,Béns de consum,BCO,"Aliments, begudes i tabac",ABT,616.8,426.4
04/2016,4,2016,Béns de consum,BCO,"Aliments, begudes i tabac",ABT,589.3,408.2
03/2016,3,2016,Béns de consum,BCO,"Aliments, begudes i tabac",ABT,573,391.6
02/2016,2,2016,Béns de consum,BCO,"Aliments, begudes i tabac",ABT,562.3,372.6
01/2016,1,2016,Béns de consum,BCO,"Aliments, begudes i tabac",ABT,491.1,345
12/2015,12,2015,Béns de consum,BCO,"Aliments, begudes i tabac",ABT,578.2,405.9
11/2015,11,2015,Béns de consum,BCO,"Aliments, begudes i tabac",ABT,603.9,415.5
10/2015,10,2015,Béns de consum,BCO,"Aliments, begudes i tabac",ABT,632.9,430.2
09/2015,9,2015,Béns de consum,BCO,"Aliments, begudes i tabac",ABT,615,423.6
08/2015,8,2015,Béns de consum,BCO,"Aliments, begudes i tabac",ABT,576.7,365.4
07/2015,7,2015,Béns de consum,BCO,"Aliments, begudes i tabac",ABT,662.4,409.4
06/2015,6,2015,Béns de consum,BCO,"Aliments, begudes i tabac",ABT,605.5,405.9
05/2015,5,2015,Béns de consum,BCO,"Aliments, begudes i tabac",ABT,551.8,369.3
04/2015,4,2015,Béns de consum,BCO,"Aliments, begudes i tabac",ABT,531.5,355.4
03/2015,3,2015,Béns de consum,BCO,"Aliments, begudes i tabac",ABT,576.4,374.4
02/2015,2,2015,Béns de consum,BCO,"Aliments, begudes i tabac",ABT,504.1,316.8
01/2015,1,2015,Béns de consum,BCO,"Aliments, begudes i tabac",ABT,480,319.1
12/2014,12,2014,Béns de consum,BCO,"Aliments, begudes i tabac",ABT,513.7,365.2
11/2014,11,2014,Béns de consum,BCO,"Aliments, begudes i tabac",ABT,548.4,361.4
10/2014,10,2014,Béns de consum,BCO,"Aliments, begudes i tabac",ABT,608.1,417.2
09/2014,9,2014,Béns de consum,BCO,"Aliments, begudes i tabac",ABT,555.5,377.3
08/2014,8,2014,Béns de consum,BCO,"Aliments, begudes i tabac",ABT,504.5,331.1
07/2014,7,2014,Béns de consum,BCO,"Aliments, begudes i tabac",ABT,616.1,384.7
06/2014,6,2014,Béns de consum,BCO,"Aliments, begudes i tabac",ABT,526.4,379.4
05/2014,5,2014,Béns de consum,BCO,"Aliments, begudes i tabac",ABT,524,364.6
04/2014,4,2014,Béns de consum,BCO,"Aliments, begudes i tabac",ABT,483.7,354.2
03/2014,3,2014,Béns de consum,BCO,"Aliments, begudes i tabac",ABT,494.2,369.2
02/2014,2,2014,Béns de consum,BCO,"Aliments, begudes i tabac",ABT,472.5,304.2
01/2014,1,2014,Béns de consum,BCO,"Aliments, begudes i tabac",ABT,475.7,297.3
12/2013,12,2013,Béns de consum,BCO,"Aliments, begudes i tabac",ABT,451,339.4
11/2013,11,2013,Béns de consum,BCO,"Aliments, begudes i tabac",ABT,520.2,332.9
10/2013,10,2013,Béns de consum,BCO,"Aliments, begudes i tabac",ABT,576.5,412.7
09/2013,9,2013,Béns de consum,BCO,"Aliments, begudes i tabac",ABT,525.9,335.6
08/2013,8,2013,Béns de consum,BCO,"Aliments, begudes i tabac",ABT,550.9,318.2
07/2013,7,2013,Béns de consum,BCO,"Aliments, begudes i tabac",ABT,593.5,375.4
06/2013,6,2013,Béns de consum,BCO,"Aliments, begudes i tabac",ABT,472.9,340.7
05/2013,5,2013,Béns de consum,BCO,"Aliments, begudes i tabac",ABT,497.6,359.3
04/2013,4,2013,Béns de consum,BCO,"Aliments, begudes i tabac",ABT,493.2,370.7
03/2013,3,2013,Béns de consum,BCO,"Aliments, begudes i tabac",ABT,490,310.6
02/2013,2,2013,Béns de consum,BCO,"Aliments, begudes i tabac",ABT,449.2,291.3
01/2013,1,2013,Béns de consum,BCO,"Aliments, begudes i tabac",ABT,454.1,295.1
12/2012,12,2012,Béns de consum,BCO,"Aliments, begudes i tabac",ABT,451,311.6
11/2012,11,2012,Béns de consum,BCO,"Aliments, begudes i tabac",ABT,544.4,345.7
10/2012,10,2012,Béns de consum,BCO,"Aliments, begudes i tabac",ABT,575.3,377.8
09/2012,9,2012,Béns de consum,BCO,"Aliments, begudes i tabac",ABT,491.1,322.4
08/2012,8,2012,Béns de consum,BCO,"Aliments, begudes i tabac",ABT,536.7,318.3
07/2012,7,2012,Béns de consum,BCO,"Aliments, begudes i tabac",ABT,501.1,345.7
06/2012,6,2012,Béns de consum,BCO,"Aliments, begudes i tabac",ABT,488.6,336.4
05/2012,5,2012,Béns de consum,BCO,"Aliments, begudes i tabac",ABT,481.9,333.9
04/2012,4,2012,Béns de consum,BCO,"Aliments, begudes i tabac",ABT,424.2,307.2
03/2012,3,2012,Béns de consum,BCO,"Aliments, begudes i tabac",ABT,497.7,348.3
02/2012,2,2012,Béns de consum,BCO,"Aliments, begudes i tabac",ABT,458.8,335.7
01/2012,1,2012,Béns de consum,BCO,"Aliments, begudes i tabac",ABT,429,301.7
12/2011,12,2011,Béns de consum,BCO,"Aliments, begudes i tabac",ABT,439.7,356.6
11/2011,11,2011,Béns de consum,BCO,"Aliments, begudes i tabac",ABT,484.7,378.5
10/2011,10,2011,Béns de consum,BCO,"Aliments, begudes i tabac",ABT,478,370.2
09/2011,9,2011,Béns de consum,BCO,"Aliments, begudes i tabac",ABT,484,358.2
08/2011,8,2011,Béns de consum,BCO,"Aliments, begudes i tabac",ABT,449.2,337.4
07/2011,7,2011,Béns de consum,BCO,"Aliments, begudes i tabac",ABT,478.9,350.9
06/2011,6,2011,Béns de consum,BCO,"Aliments, begudes i tabac",ABT,433.7,335.9
05/2011,5,2011,Béns de consum,BCO,"Aliments, begudes i tabac",ABT,432.7,364.3
04/2011,4,2011,Béns de consum,BCO,"Aliments, begudes i tabac",ABT,409.4,306.2
03/2011,3,2011,Béns de consum,BCO,"Aliments, begudes i tabac",ABT,442.7,358.7
02/2011,2,2011,Béns de consum,BCO,"Aliments, begudes i tabac",ABT,385.8,295.7
01/2011,1,2011,Béns de consum,BCO,"Aliments, begudes i tabac",ABT,367.4,283.3
12/2010,12,2010,Béns de consum,BCO,"Aliments, begudes i tabac",ABT,405.8,354.4
11/2010,11,2010,Béns de consum,BCO,"Aliments, begudes i tabac",ABT,452.5,342.9
10/2010,10,2010,Béns de consum,BCO,"Aliments, begudes i tabac",ABT,434.9,356.2
09/2010,9,2010,Béns de consum,BCO,"Aliments, begudes i tabac",ABT,433,325.3
08/2010,8,2010,Béns de consum,BCO,"Aliments, begudes i tabac",ABT,406.9,308.3
07/2010,7,2010,Béns de consum,BCO,"Aliments, begudes i tabac",ABT,430,336.6
06/2010,6,2010,Béns de consum,BCO,"Aliments, begudes i tabac",ABT,390.9,336.5
05/2010,5,2010,Béns de consum,BCO,"Aliments, begudes i tabac",ABT,381.8,346.5
04/2010,4,2010,Béns de consum,BCO,"Aliments, begudes i tabac",ABT,337.9,319.1
03/2010,3,2010,Béns de consum,BCO,"Aliments, begudes i tabac",ABT,381.9,329.9
02/2010,2,2010,Béns de consum,BCO,"Aliments, begudes i tabac",ABT,328.2,283.1
01/2010,1,2010,Béns de consum,BCO,"Aliments, begudes i tabac",ABT,314.4,252.6
12/2009,12,2009,Béns de consum,BCO,"Aliments, begudes i tabac",ABT,341.9,308.5
11/2009,11,2009,Béns de consum,BCO,"Aliments, begudes i tabac",ABT,365.8,345.9
10/2009,10,2009,Béns de consum,BCO,"Aliments, begudes i tabac",ABT,379.9,362.5
09/2009,9,2009,Béns de consum,BCO,"Aliments, begudes i tabac",ABT,355.1,312.7
08/2009,8,2009,Béns de consum,BCO,"Aliments, begudes i tabac",ABT,323.4,292
07/2009,7,2009,Béns de consum,BCO,"Aliments, begudes i tabac",ABT,380.1,318.3
06/2009,6,2009,Béns de consum,BCO,"Aliments, begudes i tabac",ABT,346.8,316.4
05/2009,5,2009,Béns de consum,BCO,"Aliments, begudes i tabac",ABT,327.4,329.9
04/2009,4,2009,Béns de consum,BCO,"Aliments, begudes i tabac",ABT,315.4,293.7
03/2009,3,2009,Béns de consum,BCO,"Aliments, begudes i tabac",ABT,340.1,321.7
02/2009,2,2009,Béns de consum,BCO,"Aliments, begudes i tabac",ABT,305.6,284
01/2009,1,2009,Béns de consum,BCO,"Aliments, begudes i tabac",ABT,318,272.8
12/2008,12,2008,Béns de consum,BCO,"Aliments, begudes i tabac",ABT,357.4,312.9
11/2008,11,2008,Béns de consum,BCO,"Aliments, begudes i tabac",ABT,367.3,338.9
10/2008,10,2008,Béns de consum,BCO,"Aliments, begudes i tabac",ABT,443.8,388.3
09/2008,9,2008,Béns de consum,BCO,"Aliments, begudes i tabac",ABT,417.8,364.4
08/2008,8,2008,Béns de consum,BCO,"Aliments, begudes i tabac",ABT,370.3,300.6
07/2008,7,2008,Béns de consum,BCO,"Aliments, begudes i tabac",ABT,443.5,379.5
06/2008,6,2008,Béns de consum,BCO,"Aliments, begudes i tabac",ABT,348.2,335.8
05/2008,5,2008,Béns de consum,BCO,"Aliments, begudes i tabac",ABT,386,363.4
04/2008,4,2008,Béns de consum,BCO,"Aliments, begudes i tabac",ABT,359,346.3
03/2008,3,2008,Béns de consum,BCO,"Aliments, begudes i tabac",ABT,309,340.3
02/2008,2,2008,Béns de consum,BCO,"Aliments, begudes i tabac",ABT,348.1,322
01/2008,1,2008,Béns de consum,BCO,"Aliments, begudes i tabac",ABT,331.6,350.4
12/2007,12,2007,Béns de consum,BCO,"Aliments, begudes i tabac",ABT,310,298.4
11/2007,11,2007,Béns de consum,BCO,"Aliments, begudes i tabac",ABT,392.9,382.2
10/2007,10,2007,Béns de consum,BCO,"Aliments, begudes i tabac",ABT,401.4,394.8
09/2007,9,2007,Béns de consum,BCO,"Aliments, begudes i tabac",ABT,367.1,367.1
08/2007,8,2007,Béns de consum,BCO,"Aliments, begudes i tabac",ABT,351.1,339.7
07/2007,7,2007,Béns de consum,BCO,"Aliments, begudes i tabac",ABT,342.8,348.2
06/2007,6,2007,Béns de consum,BCO,"Aliments, begudes i tabac",ABT,321.4,354.3
05/2007,5,2007,Béns de consum,BCO,"Aliments, begudes i tabac",ABT,336.3,365.6
04/2007,4,2007,Béns de consum,BCO,"Aliments, begudes i tabac",ABT,291.2,318
03/2007,3,2007,Béns de consum,BCO,"Aliments, begudes i tabac",ABT,328.1,331.3
02/2007,2,2007,Béns de consum,BCO,"Aliments, begudes i tabac",ABT,293.9,289.6
01/2007,1,2007,Béns de consum,BCO,"Aliments, begudes i tabac",ABT,301.2,287.7
12/2006,12,2006,Béns de consum,BCO,"Aliments, begudes i tabac",ABT,285.6,304.8
11/2006,11,2006,Béns de consum,BCO,"Aliments, begudes i tabac",ABT,362.6,357.4
10/2006,10,2006,Béns de consum,BCO,"Aliments, begudes i tabac",ABT,360.6,372.6
09/2006,9,2006,Béns de consum,BCO,"Aliments, begudes i tabac",ABT,338.8,333.9
08/2006,8,2006,Béns de consum,BCO,"Aliments, begudes i tabac",ABT,323.1,308.8
07/2006,7,2006,Béns de consum,BCO,"Aliments, begudes i tabac",ABT,333.1,317.4
06/2006,6,2006,Béns de consum,BCO,"Aliments, begudes i tabac",ABT,339.6,351.8
05/2006,5,2006,Béns de consum,BCO,"Aliments, begudes i tabac",ABT,313.7,362.8
04/2006,4,2006,Béns de consum,BCO,"Aliments, begudes i tabac",ABT,263.7,285.6
03/2006,3,2006,Béns de consum,BCO,"Aliments, begudes i tabac",ABT,311.5,342.1
02/2006,2,2006,Béns de consum,BCO,"Aliments, begudes i tabac",ABT,257.3,258.5
01/2006,1,2006,Béns de consum,BCO,"Aliments, begudes i tabac",ABT,258.8,263
12/2005,12,2005,Béns de consum,BCO,"Aliments, begudes i tabac",ABT,292.5,325.1
11/2005,11,2005,Béns de consum,BCO,"Aliments, begudes i tabac",ABT,349,361.2
10/2005,10,2005,Béns de consum,BCO,"Aliments, begudes i tabac",ABT,320.1,342.5
09/2005,9,2005,Béns de consum,BCO,"Aliments, begudes i tabac",ABT,311.9,341.2
08/2005,8,2005,Béns de consum,BCO,"Aliments, begudes i tabac",ABT,271.4,332.7
07/2005,7,2005,Béns de consum,BCO,"Aliments, begudes i tabac",ABT,290.3,313
06/2005,6,2005,Béns de consum,BCO,"Aliments, begudes i tabac",ABT,273.8,353.2
05/2005,5,2005,Béns de consum,BCO,"Aliments, begudes i tabac",ABT,265.6,344.3
04/2005,4,2005,Béns de consum,BCO,"Aliments, begudes i tabac",ABT,258.3,341.9
03/2005,3,2005,Béns de consum,BCO,"Aliments, begudes i tabac",ABT,269.1,310
02/2005,2,2005,Béns de consum,BCO,"Aliments, begudes i tabac",ABT,250.2,267.4
01/2005,1,2005,Béns de consum,BCO,"Aliments, begudes i tabac",ABT,241.9,240.1
